title,link,standardized_date,source,target,relation
No title found,https://www.sierraspace.com/newsroom/blog/space-technology-exploring-trash-compaction-and-processing/,,Sierra Space,NASA Ames Research Center,Strategic Alliances
No title found,https://www.sierraspace.com/newsroom/blog/space-technology-exploring-trash-compaction-and-processing/,,Sierra Space,Johnson Space Center,Strategic Alliances
"Maxar Space Systems Successfully Hands Over the Largest Commercial Satellite Built, JUPITER 3, to EchoStar",https://www.maxar.com//press-releases/maxar-space-systems-successfully-hands-over-the-largest-commercial-satellite-built-jupiter-3-to-echostar,2023-11-16,Maxar,Hughes,Supplier-Customer Relationships
CORRECTING and REPLACING NASA’s Psyche—Maxar Space Systems' First Deep Space Spacecraft— Performing Well After Launch,https://www.maxar.com//press-releases/correcting-and-replacing-nasa-s-psyche-maxar-space-systems-first-deep-space-spacecraft-performing-well-after-launch,2023-10-13,Maxar,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
"Maxar’s Largest Ever Satellite, Hughes JUPITER 3, Performing Well After Launch",https://www.maxar.com//press-releases/maxar-s-largest-ever-satellite-hughes-jupiter-3-performing-well-after-launch,2023-07-29,Maxar,Hughes,Supplier-Customer Relationships
Maxar and Esri Expand Partnership to Visualize Precision3D™ in ArcGIS Living Atlas of the World,https://www.maxar.com//press-releases/maxar-and-esri-expand-partnership-to-visualize-precision3d-in-arcgis-living-atlas-of-the-world,2023-06-27,Maxar,Esri International,Supplier-Customer Relationships
U.S. Private Equity Firm Advent International and BCI Complete Acquisition of Maxar Technologies,https://www.maxar.com//press-releases/u-s-private-equity-firm-advent-international-and-bci-complete-acquisition-of-maxar-technologies,2023-05-03,Advent International,Maxar,Investment and Financial Partnerships
Maxar Technologies Stockholders Approve Acquisition by Advent International,https://www.maxar.com//press-releases/maxar-technologies-stockholders-approve-acquisition-by-advent-international,2023-04-19,Maxar,Advent International,Mergers and Acquisitions
DISH TV Adding to Fleet with New Maxar Satellite Order,https://www.maxar.com//press-releases/dish-tv-adding-to-fleet-with-new-maxar-satellite-order,2023-04-18,DISH,Maxar,Supplier-Customer Relationships
"Maxar Rebrands Spacecraft Portfolio, Forming Flexible Family That Fits Any Mission",https://www.maxar.com//press-releases/maxar-rebrands-spacecraft-portfolio-forming-flexible-family-that-fits-any-mission,2023-04-17,Maxar,L3Harris,Supplier-Customer Relationships
Maxar Technologies Provides Update on Status of Regulatory Approvals of Proposed Acquisition by Advent International,https://www.maxar.com//press-releases/maxar-technologies-provides-update-on-status-of-regulatory-approvals-of-proposed-acquisition-by-advent-international,2023-04-14,Maxar,Advent International,Mergers and Acquisitions
Maxar Awarded Phase 3b of U.S. Army’s One World Terrain Contract,https://www.maxar.com//press-releases/maxar-awarded-phase-3b-of-u-s-army-s-one-world-terrain-contract,2023-02-27,Maxar,U.S. Army,Supplier-Customer Relationships
"Maxar Launches High-Performance SYNTH3D Digital Twin for Metaverse, Simulation and Virtual Reality Applications",https://www.maxar.com//press-releases/maxar-launches-high-performance-synth3d-digital-twin-for-metaverse-simulation-and-virtual-reality-applications,2023-02-23,Maxar,blackshark.ai,Joint Product Development
Maxar to Provide Environmental Monitoring for Government of Guyana,https://www.maxar.com//press-releases/maxar-to-provide-environmental-monitoring-for-government-of-guyana,2023-02-21,Maxar,Government of Guyana,Supplier-Customer Relationships
Maxar Technologies Announces Completion of “Go-Shop” Period,https://www.maxar.com//press-releases/maxar-technologies-announces-completion-of-go-shop-period,2023-02-15,Maxar,Advent International,Mergers and Acquisitions
"Maxar Secures Dedicated Access to Umbra’s SAR Constellation, Creating the Geospatial Industry’s Most Advanced Multisource Intelligence Solution",https://www.maxar.com//press-releases/maxar-secures-dedicated-access-to-umbra-s-sar-constellation-creating-the-geospatial-industry-s-most-advanced-multisource-intelligence-solution,2023-02-14,Maxar,Umbra,Supplier-Customer Relationships
Maxar Awarded $192M Foreign Commercial Imagery Program IDIQ Contract,https://www.maxar.com//press-releases/maxar-awarded-192m-foreign-commercial-imagery-program-idiq-contract,2023-02-08,Maxar,National Geospatial-Intelligence Agency (NGA),Supplier-Customer Relationships
NGA Awards Maxar Land Cover and Enhanced API Contracts,https://www.maxar.com//press-releases/nga-awards-maxar-land-cover-and-enhanced-api-contracts,2023-01-04,Maxar,National Geospatial-Intelligence Agency (NGA),Supplier-Customer Relationships
Press Release: Benchmark Space Systems Wins Second Air Force Research Lab Contract to Test New Thrusters on Non-Toxic ASCENT Fuel,https://www.benchmarkspacesystems.com/news/post/press-release-benchmark-space-systems-wins-second-air-force-research-lab-contract-to-test-new-thrusters-on-non-toxic-ascent-fuel,2023-08-29,Benchmark Space Systems,Air Force Research Laboratory (AFRL),Supplier-Customer Relationships
Press Release: Benchmark Unveils First-Ever Autopilot for Satellites,https://www.benchmarkspacesystems.com/news/post/press-release-benchmark-unveils-first-ever-autopilot-for-satellites,2023-08-07,Benchmark Space Systems,Kayhan Space,Strategic Alliances
"Press Release: Benchmark Space Systems Fires Up Metal Plasma and Bi-Prop Thruster Production, Realigns Senior Executive Team to Deliver on Intensifying Hybrid Propulsion System Demand",https://www.benchmarkspacesystems.com/news/post/-press-release-benchmark-space-systems-fires-up-metal-plasma-and-bi-prop-thruster-production,2023-03-14,Benchmark Space Systems,Alameda Applied Sciences Corporation (AASC),Mergers and Acquisitions
"Press Release: Benchmark Space Systems Fires Up Metal Plasma and Bi-Prop Thruster Production, Realigns Senior Executive Team to Deliver on Intensifying Hybrid Propulsion System Demand",https://www.benchmarkspacesystems.com/news/post/-press-release-benchmark-space-systems-fires-up-metal-plasma-and-bi-prop-thruster-production,2023-03-14,Benchmark Space Systems,Tesseract Space,Mergers and Acquisitions
"Press Release: Benchmark Space Systems Nearly Triples Team, Expands Global Production Capacity In 2022 to Meet Rising Propulsion System Demand",https://www.benchmarkspacesystems.com/news/post/-benchmark-nearly-triples-team-expands-global-production-capacity-in-2022-to-meet-rising-propulsion-system-demand,2022-11-15,Benchmark Space Systems,Satellite Applications Catapult,Strategic Alliances
The Exploration Company Selects Benchmark Space Systems Propulsion System To Power its ‘Mission Possible’ Demonstrator Flight in 2024,https://www.benchmarkspacesystems.com/news/post/the-exploration-company,2022-10-14,The Exploration Company,Benchmark Space Systems,Joint Product Development
Press Release: Benchmark Kicks Off European Expansion with Major Propulsion Contract Supporting Space Forge’s Sustainable In-Space Manufacturing Mission,https://www.benchmarkspacesystems.com/news/post/benchmark-kicks-off-european-expansion-with-major-propulsion-contract-supporting-space-forges-sustainable-in-space-manufacturing-mission,2022-05-24,Benchmark Space Systems,Space Forge,Supplier-Customer Relationships
Press Release: Benchmark Kicks Off European Expansion with Major Propulsion Contract Supporting Space Forge’s Sustainable In-Space Manufacturing Mission,https://www.benchmarkspacesystems.com/news/post/benchmark-kicks-off-european-expansion-with-major-propulsion-contract-supporting-space-forges-sustainable-in-space-manufacturing-mission,2022-05-24,Benchmark Space Systems,Satellite Applications Catapult,Supplier-Customer Relationships
Press Release: Benchmark green propellant thrusters installed on Sherpa tug,https://www.benchmarkspacesystems.com/news/post/benchmark-green-propellant-thrusters-installed-on-sherpa-tug,2021-12-21,Spaceflight,Benchmark Space Systems,Joint Product Development
"Press Release: Orbit Fab and Benchmark Space Systems Team to Establish In-Space High-Test Peroxide-based Refueling, Servicing Infrastructure",https://www.benchmarkspacesystems.com/news/post/press-release-orbit-fab-and-benchmark-space-systems,2021-02-23,Orbit Fab,Benchmark Space Systems,Joint Product Development
"Press Release: Orbit Fab and Benchmark Space Systems Team to Establish In-Space High-Test Peroxide-based Refueling, Servicing Infrastructure",https://www.benchmarkspacesystems.com/news/post/press-release-orbit-fab-and-benchmark-space-systems,2021-02-23,Benchmark Space Systems,Spaceflight,Supplier-Customer Relationships
"Press Release: Orbit Fab and Benchmark Space Systems Team to Establish In-Space High-Test Peroxide-based Refueling, Servicing Infrastructure",https://www.benchmarkspacesystems.com/news/post/press-release-orbit-fab-and-benchmark-space-systems,2021-02-23,Orbit Fab,Spaceflight,Supplier-Customer Relationships
"Press Release: Orbit Fab and Benchmark Space Systems Team to Establish In-Space High-Test Peroxide-based Refueling, Servicing Infrastructure",https://www.benchmarkspacesystems.com/news/post/press-release-orbit-fab-and-benchmark-space-systems,2021-02-23,Benchmark Space Systems,Astro Digital,Supplier-Customer Relationships
"Press Release: Orbit Fab and Benchmark Space Systems Team to Establish In-Space High-Test Peroxide-based Refueling, Servicing Infrastructure",https://www.benchmarkspacesystems.com/news/post/press-release-orbit-fab-and-benchmark-space-systems,2021-02-23,Orbit Fab,Astro Digital,Supplier-Customer Relationships
Press Release: AFWERX Announces Benchmark Space Systems Among Top Teams Selected to exhibit at EngageSpace,https://www.benchmarkspacesystems.com/news/post/press-release-afwerx-announces-benchmark-space,2020-09-16,U.S. Air Force,Benchmark Space Systems,Strategic Alliances
Press Release: Spaceflight Inc. and Benchmark Space Systems Sign Exclusive Deal,https://www.benchmarkspacesystems.com/news/post/press-release-spaceflight-inc-and-benchmark-space-systems-sign-exclusive-deal,2020-08-05,Spaceflight,Benchmark Space Systems,Supplier-Customer Relationships
Press Release: Benchmark Space Systems Secures Transformational Agreement with Tesseract Space,https://www.benchmarkspacesystems.com/news/post/press-release-partnership-announcement,2020-08-05,Benchmark Space Systems,SpaceX,Supplier-Customer Relationships
Press Release: Benchmark Space Systems Secures Transformational Agreement with Tesseract Space,https://www.benchmarkspacesystems.com/news/post/press-release-partnership-announcement,2020-08-05,Benchmark Space Systems,Firefly Aerospace,Supplier-Customer Relationships
Ramon.Space Raises $26M to Fuel the New Era of Space Computing Infrastructure,https://ramon.space/press/ramon-space-raises-26m-to-fuel-the-new-era-of-space-computing-infrastructure/,2023-06-28,Ingrasys,Ramon.Space,Investment and Financial Partnerships
Ramon.Space Raises $26M to Fuel the New Era of Space Computing Infrastructure,https://ramon.space/press/ramon-space-raises-26m-to-fuel-the-new-era-of-space-computing-infrastructure/,2023-06-28,Strategic Development Fund (SDF),Ramon.Space,Investment and Financial Partnerships
Ramon.Space Raises $26M to Fuel the New Era of Space Computing Infrastructure,https://ramon.space/press/ramon-space-raises-26m-to-fuel-the-new-era-of-space-computing-infrastructure/,2023-06-28,Deep Insight,Ramon.Space,Investment and Financial Partnerships
Ramon.Space and Foxconn Partner to Launch Revolutionary High-Volume Space Computing Products,https://ramon.space/press/ramon-space-and-foxconn-partner-to-launch-revolutionary-high-volume-space-computing-products/,2023-06-20,Ramon.Space,Ingrasys,Strategic Alliances
Terran Orbital Awarded $4.7 Million Contract by European Space Agency,https://terranorbital.com/terran-orbital-awarded-4-7-million-contract-by-european-space-agency/,2023-10-25,Terran Orbital,European Space Agency (ESA),Supplier-Customer Relationships
Terran Orbital Awarded $4.7 Million Contract by European Space Agency,https://terranorbital.com/terran-orbital-awarded-4-7-million-contract-by-european-space-agency/,2023-10-25,Terran Orbital,Polytechnic University of Turin,Research and Development Collaborations
Terran Orbital Customer Rivada Meets Rigorous Review for International Telecommunications Union (ITU) Waiver to Deploy Constellation,https://terranorbital.com/terran-orbital-customer-rivada-meets-rigorous-review-for-international-telecommunications-union-itu-waiver-to-deploy-constellation/,2023-07-06,Terran Orbital,Rivada Space Networks,Supplier-Customer Relationships
Safran and Terran Orbital sign a Memorandum of Agreement to produce satellite electric propulsion systems in the United States of America,https://terranorbital.com/safran-and-terran-orbital-sign-a-memorandum-of-agreement-to-produce-satellite-electric-propulsion-systems-in-the-united-states-of-america/,2023-06-23,Safran,Terran Orbital,Strategic Alliances
Terran Orbital joins TIME100 Most Influential Companies,https://terranorbital.com/terran-orbital-joins-time100-most-influential-companies/,2023-06-21,Terran Orbital,National Aeronautics and Space Administration (NASA),Research and Development Collaborations
Terran Orbital joins TIME100 Most Influential Companies,https://terranorbital.com/terran-orbital-joins-time100-most-influential-companies/,2023-06-21,Terran Orbital,Advanced Space,Research and Development Collaborations
Terran Orbital and ImageSat International (ISI) Prepare for the Launch of the RUNNER-1 Earth Observation Satellite,https://terranorbital.com/terran-orbital-and-imagesat-international-isi-prepare-for-the-launch-of-the-runner-1-earth-observation-satellite/,2023-06-08,ISI,Chilean Space Program,Supplier-Customer Relationships
Terran Orbital-Developed CAPSTONE Completes Primary Mission,https://terranorbital.com/terran-orbital-developed-capstone-completes-primary-mission/,2023-06-05,Advanced Space,National Aeronautics and Space Administration (NASA),Strategic Alliances
Terran Orbital Reports First Quarter 2023 Financial Results,https://terranorbital.com/terran-orbital-reports-first-quarter-2023-financial-results/,2023-05-15,Terran Orbital,Rivada Space Networks,Supplier-Customer Relationships
"Terran Orbital Receives Milestone Payment for 300 Spacecraft, $2.4 Billion Contract with Rivada Space Networks",https://terranorbital.com/terran-orbital-receives-milestone-payment-for-300-spacecraft-2-4-billion-contract-with-rivada-space-networks/,2023-04-27,Terran Orbital,Rivada Space Networks,Supplier-Customer Relationships
Terran Orbital Reports Full Year 2022 Financial Results and Another Year of Record Revenues,https://terranorbital.com/terran-orbital-reports-full-year-2022-financial-results-and-another-year-of-record-revenues/,2023-03-21,Terran Orbital,Space Development Agency (SDA),Supplier-Customer Relationships
Terran Orbital Reports Full Year 2022 Financial Results and Another Year of Record Revenues,https://terranorbital.com/terran-orbital-reports-full-year-2022-financial-results-and-another-year-of-record-revenues/,2023-03-21,Terran Orbital,Lockheed Martin,Investment and Financial Partnerships
Terran Orbital Reports Full Year 2022 Financial Results and Another Year of Record Revenues,https://terranorbital.com/terran-orbital-reports-full-year-2022-financial-results-and-another-year-of-record-revenues/,2023-03-21,Terran Orbital,Rivada Space Networks,Supplier-Customer Relationships
Terran Orbital’s Marc Bell Named to South Florida Business Journal’s 2023 Power Leaders 250 List,https://terranorbital.com/terran-orbitals-marc-bell-named-to-south-florida-business-journals-2023-power-leaders-250-list/,2023-03-06,Terran Orbital,Rivada Space Networks,Supplier-Customer Relationships
Terran Orbital’s Marc Bell Named to South Florida Business Journal’s 2023 Power Leaders 250 List,https://terranorbital.com/terran-orbitals-marc-bell-named-to-south-florida-business-journals-2023-power-leaders-250-list/,2023-03-06,Terran Orbital,Lockheed Martin,Strategic Alliances
Terran Orbital’s Marc Bell Named to South Florida Business Journal’s 2023 Power Leaders 250 List,https://terranorbital.com/terran-orbitals-marc-bell-named-to-south-florida-business-journals-2023-power-leaders-250-list/,2023-03-06,Terran Orbital,Lockheed Martin,Investment and Financial Partnerships
Terran Orbital Named to Fast Company’s Annual List of the World’s Most Innovative Companies for 2023,https://terranorbital.com/terran-orbital-named-to-fast-companys-annual-list-of-the-worlds-most-innovative-companies-for-2023/,2023-03-02,Terran Orbital,Rivada Space Networks,Supplier-Customer Relationships
Terran Orbital Named to Fast Company’s Annual List of the World’s Most Innovative Companies for 2023,https://terranorbital.com/terran-orbital-named-to-fast-companys-annual-list-of-the-worlds-most-innovative-companies-for-2023/,2023-03-02,Terran Orbital,Lockheed Martin,Investment and Financial Partnerships
Terran Orbital Named to Fast Company’s Annual List of the World’s Most Innovative Companies for 2023,https://terranorbital.com/terran-orbital-named-to-fast-companys-annual-list-of-the-worlds-most-innovative-companies-for-2023/,2023-03-02,Terran Orbital,Lockheed Martin,Strategic Alliances
Terran Orbital Wins $2.4 Billion Contract to Build 300 Satellites for Rivada Space Networks,https://terranorbital.com/terran-orbital-wins-2-4-billion-contract-to-build-300-satellites-for-rivada-space-networks/,2023-02-22,Terran Orbital,Rivada Space Networks,Supplier-Customer Relationships
Marc Bell: Big OC Plans for Small-Satellite Maker,https://terranorbital.com/marc-bell-big-oc-plans-for-small-satellite-maker/,2023-01-13,Terran Orbital,Tyvak,Mergers and Acquisitions
Marc Bell: Big OC Plans for Small-Satellite Maker,https://terranorbital.com/marc-bell-big-oc-plans-for-small-satellite-maker/,2023-01-13,Terran Orbital,Lockheed Martin,Investment and Financial Partnerships
Marc Bell: Big OC Plans for Small-Satellite Maker,https://terranorbital.com/marc-bell-big-oc-plans-for-small-satellite-maker/,2023-01-13,Terran Orbital,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
